,user_loc,fr_loc,scaled_sci,user_city_id,fr_city_id
400,DIYARBAKIR,BALIKESIR,5495,26,12
401,MARDIN,BALIKESIR,6773,58,12
402,BATMAN,BALIKESIR,5256,14,12
403,SIRNAK,BALIKESIR,6152,72,12
404,SIIRT,BALIKESIR,6737,70,12
405,ISTANBUL,CANAKKALE,13256,40,22
406,TEKIRDAG,CANAKKALE,33510,74,22
407,EDIRNE,CANAKKALE,53102,28,22
408,KIRKLARELI,CANAKKALE,29312,50,22
409,BALIKESIR,CANAKKALE,79952,12,22
410,CANAKKALE,CANAKKALE,2778898,22,22
411,IZMIR,CANAKKALE,15398,41,22
412,AYDIN,CANAKKALE,13368,11,22
413,DENIZLI,CANAKKALE,9371,25,22
414,MUGLA,CANAKKALE,15456,60,22
415,MANISA,CANAKKALE,13585,57,22
416,AFYONKARAHISAR,CANAKKALE,9219,3,22
417,KUTAHYA,CANAKKALE,12292,55,22
418,USAK,CANAKKALE,9533,78,22
419,BURSA,CANAKKALE,17606,21,22
420,ESKISEHIR,CANAKKALE,10932,32,22
421,BILECIK,CANAKKALE,14576,16,22
422,KOCAELI,CANAKKALE,12229,53,22
423,SAKARYA,CANAKKALE,9834,67,22
424,DUZCE,CANAKKALE,8686,27,22
425,BOLU,CANAKKALE,10469,19,22
426,YALOVA,CANAKKALE,15174,80,22
427,ANKARA,CANAKKALE,9203,7,22
428,KONYA,CANAKKALE,7130,54,22
429,KARAMAN,CANAKKALE,6775,44,22
430,ANTALYA,CANAKKALE,9242,8,22
431,ISPARTA,CANAKKALE,9270,39,22
432,BURDUR,CANAKKALE,9040,20,22
433,ADANA,CANAKKALE,6198,1,22
434,MERSIN,CANAKKALE,6601,59,22
435,HATAY,CANAKKALE,5374,37,22
436,KAHRAMANMARAS,CANAKKALE,7148,42,22
437,OSMANIYE,CANAKKALE,8649,65,22
438,KIRIKKALE,CANAKKALE,8206,49,22
439,AKSARAY,CANAKKALE,6652,5,22
440,NIGDE,CANAKKALE,8120,63,22
441,NEVSEHIR,CANAKKALE,8240,62,22
442,KIRSEHIR,CANAKKALE,7102,51,22
443,KAYSERI,CANAKKALE,5939,47,22
444,SIVAS,CANAKKALE,8464,73,22
445,YOZGAT,CANAKKALE,8425,81,22
446,ZONGULDAK,CANAKKALE,10862,82,22
447,KARABUK,CANAKKALE,8953,43,22
448,BARTIN,CANAKKALE,12105,13,22
449,KASTAMONU,CANAKKALE,10080,46,22
450,CANKIRI,CANAKKALE,8314,23,22
451,SINOP,CANAKKALE,10588,71,22
452,SAMSUN,CANAKKALE,8244,68,22
453,TOKAT,CANAKKALE,8004,75,22
454,CORUM,CANAKKALE,7359,24,22
455,AMASYA,CANAKKALE,9057,6,22
456,TRABZON,CANAKKALE,9812,76,22
457,ORDU,CANAKKALE,10822,64,22
458,GIRESUN,CANAKKALE,8730,34,22
459,RIZE,CANAKKALE,8960,66,22
460,ARTVIN,CANAKKALE,12723,10,22
461,GUMUSHANE,CANAKKALE,11108,35,22
462,ERZURUM,CANAKKALE,9111,31,22
463,ERZINCAN,CANAKKALE,9541,30,22
464,BAYBURT,CANAKKALE,10466,15,22
465,AGRI,CANAKKALE,13136,4,22
466,KARS,CANAKKALE,11101,45,22
467,IGDIR,CANAKKALE,10230,38,22
468,ARDAHAN,CANAKKALE,11167,9,22
469,MALATYA,CANAKKALE,6554,56,22
470,ELAZIG,CANAKKALE,7257,29,22
471,BINGOL,CANAKKALE,6268,17,22
472,TUNCELI,CANAKKALE,13319,77,22
473,VAN,CANAKKALE,10508,79,22
474,MUS,CANAKKALE,9764,61,22
475,BITLIS,CANAKKALE,7091,18,22
476,HAKKARI,CANAKKALE,7505,36,22
477,GAZIANTEP,CANAKKALE,4690,33,22
478,ADIYAMAN,CANAKKALE,6609,2,22
479,KILIS,CANAKKALE,5356,48,22
480,SANLIURFA,CANAKKALE,7663,69,22
481,DIYARBAKIR,CANAKKALE,5531,26,22
482,MARDIN,CANAKKALE,5914,58,22
483,BATMAN,CANAKKALE,4850,14,22
484,SIRNAK,CANAKKALE,6204,72,22
485,SIIRT,CANAKKALE,6995,70,22
486,ISTANBUL,IZMIR,8752,40,41
487,TEKIRDAG,IZMIR,8554,74,41
488,EDIRNE,IZMIR,9763,28,41
489,KIRKLARELI,IZMIR,8556,50,41
490,BALIKESIR,IZMIR,20622,12,41
491,CANAKKALE,IZMIR,15398,22,41
492,IZMIR,IZMIR,184089,41,41
493,AYDIN,IZMIR,38670,11,41
494,DENIZLI,IZMIR,17576,25,41
495,MUGLA,IZMIR,26062,60,41
496,MANISA,IZMIR,45955,57,41
497,AFYONKARAHISAR,IZMIR,18245,3,41
498,KUTAHYA,IZMIR,17596,55,41
499,USAK,IZMIR,23699,78,41
500,BURSA,IZMIR,8860,21,41
501,ESKISEHIR,IZMIR,10059,32,41
502,BILECIK,IZMIR,8381,16,41
503,KOCAELI,IZMIR,8412,53,41
504,SAKARYA,IZMIR,6643,67,41
505,DUZCE,IZMIR,5683,27,41
506,BOLU,IZMIR,6328,19,41
507,YALOVA,IZMIR,9466,80,41
508,ANKARA,IZMIR,9763,7,41
509,KONYA,IZMIR,9818,54,41
510,KARAMAN,IZMIR,8615,44,41
511,ANTALYA,IZMIR,11230,8,41
512,ISPARTA,IZMIR,12446,39,41
513,BURDUR,IZMIR,14693,20,41
514,ADANA,IZMIR,6902,1,41
515,MERSIN,IZMIR,7638,59,41
516,HATAY,IZMIR,5921,37,41
517,KAHRAMANMARAS,IZMIR,6144,42,41
518,OSMANIYE,IZMIR,7081,65,41
519,KIRIKKALE,IZMIR,8507,49,41
520,AKSARAY,IZMIR,8006,5,41
521,NIGDE,IZMIR,10288,63,41
522,NEVSEHIR,IZMIR,8852,62,41
523,KIRSEHIR,IZMIR,9043,51,41
524,KAYSERI,IZMIR,6285,47,41
525,SIVAS,IZMIR,10416,73,41
526,YOZGAT,IZMIR,9052,81,41
527,ZONGULDAK,IZMIR,7151,82,41
528,KARABUK,IZMIR,6728,43,41
529,BARTIN,IZMIR,6763,13,41
530,KASTAMONU,IZMIR,6318,46,41
531,CANKIRI,IZMIR,6616,23,41
532,SINOP,IZMIR,6632,71,41
533,SAMSUN,IZMIR,6905,68,41
534,TOKAT,IZMIR,9755,75,41
535,CORUM,IZMIR,9246,24,41
536,AMASYA,IZMIR,10156,6,41
537,TRABZON,IZMIR,7121,76,41
538,ORDU,IZMIR,7943,64,41
539,GIRESUN,IZMIR,6454,34,41
540,RIZE,IZMIR,9840,66,41
541,ARTVIN,IZMIR,10511,10,41
542,GUMUSHANE,IZMIR,9948,35,41
543,ERZURUM,IZMIR,13793,31,41
544,ERZINCAN,IZMIR,11952,30,41
545,BAYBURT,IZMIR,10559,15,41
546,AGRI,IZMIR,19884,4,41
547,KARS,IZMIR,20598,45,41
548,IGDIR,IZMIR,16997,38,41
549,ARDAHAN,IZMIR,17674,9,41
550,MALATYA,IZMIR,7453,56,41
551,ELAZIG,IZMIR,8418,29,41
552,BINGOL,IZMIR,7547,17,41
553,TUNCELI,IZMIR,23045,77,41
554,VAN,IZMIR,9356,79,41
555,MUS,IZMIR,15644,61,41
556,BITLIS,IZMIR,12149,18,41
557,HAKKARI,IZMIR,6990,36,41
558,GAZIANTEP,IZMIR,6417,33,41
559,ADIYAMAN,IZMIR,6518,2,41
560,KILIS,IZMIR,6889,48,41
561,SANLIURFA,IZMIR,7760,69,41
562,DIYARBAKIR,IZMIR,8666,26,41
563,MARDIN,IZMIR,13722,58,41
564,BATMAN,IZMIR,6544,14,41
565,SIRNAK,IZMIR,6672,72,41
566,SIIRT,IZMIR,6403,70,41
567,ISTANBUL,AYDIN,7689,40,11
568,TEKIRDAG,AYDIN,8432,74,11
569,EDIRNE,AYDIN,9780,28,11
570,KIRKLARELI,AYDIN,8767,50,11
571,BALIKESIR,AYDIN,12709,12,11
572,CANAKKALE,AYDIN,13368,22,11
573,IZMIR,AYDIN,38670,41,11
574,AYDIN,AYDIN,1325635,11,11
575,DENIZLI,AYDIN,57634,25,11
576,MUGLA,AYDIN,67476,60,11
577,MANISA,AYDIN,21726,57,11
